epoch,train_mse,val_force_mae
0,0.093843,0.088322
1,0.009799,0.083008
2,0.007856,0.076313
3,0.007607,0.103787
4,0.007782,0.084764
5,0.007385,0.094853
6,0.007973,0.085459
7,0.007650,0.078974
8,0.007027,0.077259
9,0.007896,0.086796
10,0.007211,0.087508
11,0.007353,0.107033
12,0.007438,0.082495
13,0.007252,0.090788
14,0.007049,0.083692
15,0.007392,0.107117
16,0.008160,0.103494
17,0.007421,0.084455
18,0.007786,0.182497
19,0.010818,0.143912
20,0.007512,0.090830
21,0.007293,0.101182
22,0.007251,0.079708
23,0.006849,0.112626
24,0.007692,0.096916
25,0.007339,0.085935
26,0.006862,0.100446
27,0.007549,0.076365
28,0.006840,0.092788
29,0.007008,0.075560
30,0.006911,0.082814
31,0.007221,0.094672
32,0.007027,0.107705
33,0.007097,0.077491
34,0.006446,0.087609
35,0.006956,0.098298
36,0.007085,0.097836
37,0.006976,0.091763
38,0.006606,0.082491
39,0.006956,0.083665
