epoch,train_latent_mse,val_latent_mse,val_force_mae
-1,nan,0.41560637,0.498143
0,0.30509268,0.20638832,0.244416
1,0.15229209,0.09724650,0.217463
2,0.07827271,0.06973801,0.183135
3,0.06461176,0.06380988,0.162849
4,0.05944829,0.06045812,0.152695
5,0.05617375,0.05733456,0.144590
6,0.05359639,0.05461410,0.136533
7,0.05069245,0.05177522,0.130367
8,0.04779652,0.04852435,0.123440
9,0.04488200,0.04573592,0.120847
10,0.04224762,0.04326914,0.121262
11,0.04042661,0.04113325,0.121402
12,0.03931531,0.03959158,0.119884
13,0.03738700,0.03794305,0.119567
14,0.03609568,0.03640165,0.117944
15,0.03493718,0.03498900,0.117104
16,0.03342991,0.03351276,0.115974
17,0.03228492,0.03204027,0.113500
18,0.03152906,0.03100320,0.111771
19,0.03016952,0.02990066,0.111060
20,0.02928849,0.03003584,0.114761
21,0.02867832,0.02859231,0.108396
22,0.02789146,0.02811103,0.108191
23,0.02743387,0.02794810,0.106088
24,0.02687113,0.02770247,0.109207
25,0.02667752,0.02733204,0.106917
26,0.02632868,0.02708983,0.105409
27,0.02600956,0.02740459,0.106532
28,0.02562561,0.02718313,0.106459
29,0.02537424,0.02679653,0.103875
30,0.02518534,0.02670452,0.102471
31,0.02505658,0.02658667,0.104104
32,0.02468804,0.02656844,0.102250
33,0.02446013,0.02657513,0.101300
34,0.02450366,0.02614155,0.102381
35,0.02413620,0.02620138,0.100503
36,0.02391308,0.02632832,0.101092
37,0.02396156,0.02606205,0.100055
38,0.02363284,0.02640086,0.100785
39,0.02348963,0.02609787,0.099938
