epoch,seconds,train_loss,val_auprc,val_auroc,val_bce,val_brier,val_ece,val_feasible_probes,val_force_mae,val_force_median_error,val_positive_fraction,val_probes,val_rows,val_selected_success_rate,val_selected_success_rate_feasible_only
0,0.799804887996288,1.290811785908996,0.08811288447810023,0.6744454782922709,0.5293784651741786,0.17731017220663797,0.32827085116147325,193,1.0924319637305697,1.19709,0.06562387630348795,193,5562,0.025906735751295335,0.025906735751295335
1,0.8107106399838813,0.6496884522379421,0.4845012308946513,0.9587952480487952,0.2860987933650781,0.09870850685253721,0.1337755819804402,193,0.15060050259067362,0.15829999999999966,0.06562387630348795,193,5562,0.5803108808290155,0.5803108808290155
2,0.8212433060107287,0.36193554262157346,0.9150649099800409,0.9937018459016134,0.18354591297392675,0.06263690417726867,0.08555118323599988,193,0.06341974611398966,0.0,0.06562387630348795,193,5562,0.9326424870466321,0.9326424870466321
3,0.7998418829811271,0.28809403372760556,0.7123788843330551,0.9783120398754814,0.1703599363878662,0.054631120790737675,0.06677125735882003,193,0.14517354404145083,0.159211,0.06562387630348795,193,5562,0.7461139896373057,0.7461139896373057
4,0.799794140009908,0.25484357554404463,0.8739601660868713,0.9907101304493372,0.14812879162688067,0.04853964550189617,0.06392542239379967,193,0.06448079792746117,0.0,0.06562387630348795,193,5562,0.9326424870466321,0.9326424870466321
5,0.9076850439887494,0.24599737031232627,0.8775074642922472,0.990291026698754,0.151599253836769,0.04814515137271001,0.0625973501661432,193,0.059639103626943024,0.0,0.06562387630348795,193,5562,0.917098445595855,0.917098445595855
6,0.8051469629863277,0.31148426808783264,0.9375758113438698,0.9958838212772911,0.13225030402222562,0.04557420982846175,0.06475736531406434,193,0.06161042487046634,0.0,0.06562387630348795,193,5562,0.9378238341968912,0.9378238341968912
7,0.8060364499979187,0.22562298258064223,0.7881552546833775,0.9868654466090816,0.1438694094644329,0.04470237388792814,0.05569764070516689,193,0.09353454922279797,0.0,0.06562387630348795,193,5562,0.8341968911917098,0.8341968911917098
8,0.8169799940078519,0.24155322254681197,0.9469175466541507,0.9962781478250097,0.10839215806699269,0.03646477195721021,0.05130392641250819,193,0.048281813471502615,0.0,0.06562387630348795,193,5562,0.9481865284974094,0.9481865284974094
9,0.8096997280081268,0.22321058907469765,0.6005126277434785,0.9720534238667724,0.16195183976091768,0.04775132212957362,0.049305832992295656,193,0.16544779792746117,0.18761300000000025,0.06562387630348795,193,5562,0.6632124352331606,0.6632124352331606
10,0.8244264320237562,0.2310239556016492,0.9214853945488247,0.9938478732461562,0.12297957853848043,0.03945408678903592,0.05245060296689287,193,0.051817886010362725,0.0,0.06562387630348795,193,5562,0.9533678756476683,0.9533678756476683
11,0.7928221439942718,0.20934534514109132,0.9252740538492212,0.9948173472050524,0.10154219989273149,0.033437683824722515,0.045110781937200445,193,0.07513676683937826,0.0,0.06562387630348795,193,5562,0.9222797927461139,0.9222797927461139
12,0.8228540070122108,0.20451794155552738,0.8976145696921349,0.9934988837079348,0.10877621267842189,0.03464438387593443,0.04597816394568533,193,0.07673747668393784,0.0,0.06562387630348795,193,5562,0.9222797927461139,0.9222797927461139
13,0.8071640430134721,0.20209147402497588,0.9167257252933628,0.9932964486887852,0.11857998598066607,0.037881981070198,0.04883186452458142,193,0.036976367875647675,0.0,0.06562387630348795,193,5562,0.9637305699481865,0.9637305699481865
14,0.8272707510041073,0.22962946340930265,0.6152564268427495,0.9741990241999468,0.17849748499020143,0.050616384023612265,0.05606532162725665,193,0.16210459067357516,0.17709799999999998,0.06562387630348795,193,5562,0.6580310880829016,0.6580310880829016
15,0.8622436000150628,0.19791624838768765,0.9351229875063701,0.9957098536827095,0.10413871519044592,0.03391925110278617,0.046833245631240694,193,0.06160656994818655,0.0,0.06562387630348795,193,5562,0.9378238341968912,0.9378238341968912
16,0.7996162649942562,0.19089185764066507,0.9569074270908401,0.9969112844343813,0.1173606915262165,0.03824137091170293,0.05173898458566622,193,0.0296577202072539,0.0,0.06562387630348795,193,5562,0.9585492227979274,0.9585492227979274
17,0.8242804720066488,0.19088633850762682,0.8420320753850089,0.9900474720663397,0.11195053729359197,0.033811852714765916,0.04215828325099819,193,0.09635915544041453,0.0,0.06562387630348795,193,5562,0.8341968911917098,0.8341968911917098
18,0.8291470099939033,0.21057851798832417,0.8388139667095882,0.9863171850988848,0.1775299610091381,0.052531081877091226,0.0636525547469956,193,0.05317973575129535,0.0,0.06562387630348795,193,5562,0.9689119170984456,0.9689119170984456
19,0.8157463819952682,0.21052290285464192,0.8987949271443123,0.9927260458483688,0.09967350710459519,0.03147636976460164,0.04138115684679608,193,0.08615965803108812,0.0,0.06562387630348795,193,5562,0.917098445595855,0.917098445595855
20,0.8168076449946966,0.19659185379010732,0.8905080340511455,0.9928425514192857,0.09608871956641944,0.02992828399959241,0.03833848283015464,193,0.06970278756476686,0.0,0.06562387630348795,193,5562,0.9378238341968912,0.9378238341968912
21,0.8188256040157285,0.20210350402554528,0.9373462847263745,0.9953466304322041,0.07957080738373654,0.025509918274041327,0.03471741126789686,193,0.041725611398963754,0.0,0.06562387630348795,193,5562,0.9740932642487047,0.9740932642487047
22,0.8138251089840196,0.19746325268852907,0.9365337158792808,0.9955901850646184,0.11290368957839013,0.036068054384317434,0.04914214218799062,193,0.05403310362694302,0.0,0.06562387630348795,193,5562,0.9533678756476683,0.9533678756476683
23,0.8133119420090225,0.18152336110589934,0.95053983118141,0.9963651316223006,0.08435374802019867,0.027277419394356354,0.03844291881269254,193,0.04606646113989639,0.0,0.06562387630348795,193,5562,0.9430051813471503,0.9430051813471503
24,0.9022703670198098,0.18428332822733237,0.893993929600408,0.991094440681004,0.12431652980651246,0.038170979952314124,0.048293650898949436,193,0.05821456476683941,0.0,0.06562387630348795,193,5562,0.9430051813471503,0.9430051813471503
25,0.8277417439967394,0.21383127771684382,0.9369560004613492,0.9957636254846711,0.0788836650298608,0.025414385691172294,0.03503783430769412,193,0.05818508808290158,0.0,0.06562387630348795,193,5562,0.9430051813471503,0.9430051813471503
26,0.8142033169860952,0.1872692622824526,0.9573824614494963,0.9970061758496076,0.08813004285007317,0.02892567572532571,0.041427909686352266,193,0.050116792746114004,0.0,0.06562387630348795,193,5562,0.9481865284974094,0.9481865284974094
27,0.8119890160160139,0.17816045123045562,0.9523651996048076,0.996373039240236,0.07988484953194727,0.026193436851652627,0.03628444758031342,193,0.0287287305699482,0.0,0.06562387630348795,193,5562,0.9740932642487047,0.9740932642487047
28,0.8333612610003911,0.18625429245170022,0.9458682426133793,0.9964515882450623,0.08882470288485968,0.02885867468014059,0.0401385984243763,193,0.02975409844559587,0.0,0.06562387630348795,193,5562,0.9740932642487047,0.9740932642487047
29,0.8226443459861912,0.1839555705156555,0.9264902111454455,0.9956376307722317,0.09544692474610261,0.030527569585001305,0.04240709288645586,193,0.06074173056994821,0.0,0.06562387630348795,193,5562,0.9326424870466321,0.9326424870466321
30,0.7942105059919413,0.18902377851429533,0.9630233618142103,0.9972808337792352,0.128621552209749,0.041232820574168924,0.05674871684391216,193,0.04261063212435236,0.0,0.06562387630348795,193,5562,0.9689119170984456,0.9689119170984456
31,0.8647559949895367,0.18378457292670108,0.9543339618860136,0.9965749470848566,0.11081283073821584,0.03577599231025089,0.04989507926375711,193,0.029455139896373075,0.0,0.06562387630348795,193,5562,0.9740932642487047,0.9740932642487047
32,0.7950847989995964,0.1949195116147643,0.960885506056902,0.9972165184866928,0.08895823735072704,0.029177983610029025,0.04229670850253605,193,0.052343352331606245,0.0,0.06562387630348795,193,5562,0.9533678756476683,0.9533678756476683
33,0.8111561530095059,0.1804295045201529,0.9214848696597098,0.9946064773934382,0.09765871093658227,0.0304673263911064,0.04153434257921114,193,0.04269627461139898,0.0,0.06562387630348795,193,5562,0.9689119170984456,0.9689119170984456
