epoch,train_mse,val_force_mae
0,0.100314,0.090051
1,0.010994,0.102076
2,0.008669,0.077511
3,0.008207,0.088069
4,0.007479,0.074345
5,0.007104,0.098471
6,0.007387,0.090338
7,0.007301,0.071212
8,0.007214,0.074553
9,0.006971,0.074349
10,0.007108,0.073669
11,0.007545,0.071087
12,0.007972,0.097821
13,0.007224,0.099376
14,0.007466,0.073907
15,0.007287,0.130044
16,0.008168,0.093743
17,0.007302,0.123523
18,0.008253,0.081131
19,0.007112,0.085044
20,0.008354,0.082935
21,0.007290,0.107946
22,0.007971,0.109857
23,0.007783,0.103275
24,0.007156,0.074459
25,0.007648,0.096190
26,0.007204,0.081335
27,0.007588,0.125219
28,0.007331,0.094286
29,0.007617,0.104242
30,0.007456,0.161913
31,0.007693,0.089439
32,0.007113,0.099414
33,0.007455,0.118946
34,0.007282,0.084413
35,0.006811,0.082340
36,0.006840,0.086812
37,0.006996,0.143672
38,0.008584,0.078837
39,0.006450,0.089918
