epoch,seconds,train_loss,val_auprc,val_auroc,val_bce,val_brier,val_ece,val_feasible_probes,val_force_mae,val_force_median_error,val_positive_fraction,val_probes,val_rows,val_selected_success_rate,val_selected_success_rate_feasible_only
0,6.512315222993493,1.0934962323352473,0.6033946088685884,0.970416628485642,0.271161333652412,0.09466076345959107,0.131368667156983,179,0.11234703626943006,0.0864180000000001,0.0662327095199349,193,6145,0.7098445595854922,0.7653631284916201
1,5.955976015000488,0.47994330302992866,0.5224337674863856,0.9621149318779155,0.22831342860270493,0.07490062090867647,0.09235530479691167,179,0.12489243005181347,0.10684700000000014,0.0662327095199349,193,6145,0.5544041450777202,0.5977653631284916
2,5.97865975300374,0.43139573509123785,0.6015207487491924,0.9684473440137434,0.20744098341583106,0.0675085253369935,0.0817562026008348,179,0.124959896373057,0.10871900000000001,0.0662327095199349,193,6145,0.6062176165803109,0.6536312849162011
3,6.638026947999606,0.3964354004432906,0.743078906603403,0.9802831761702449,0.1858204686451842,0.06035047375083719,0.07445836520770395,179,0.09728884455958549,0.06508000000000003,0.0662327095199349,193,6145,0.7253886010362695,0.7821229050279329
4,6.102419796996401,0.3945489553595657,0.8117614167547944,0.9849162829295279,0.17403406154628034,0.058598179253841386,0.07440720007757039,179,0.09681403626943005,0.08672899999999983,0.0662327095199349,193,6145,0.7772020725388601,0.8379888268156425
5,6.623164504999295,0.3689960292470989,0.7057300812197258,0.9808950716932592,0.1837498205863509,0.061456467543750906,0.07718962186798314,179,0.09490624352331606,0.0,0.0662327095199349,193,6145,0.7564766839378239,0.8156424581005587
6,6.080400456994539,0.35734269590075335,0.7909544294702662,0.9858805857411643,0.17816638521509656,0.059462558330446405,0.07683490393185982,179,0.0884547720207254,0.0,0.0662327095199349,193,6145,0.8134715025906736,0.8770949720670391
7,6.6510946329945,0.35661927488312795,0.6921681411206269,0.977263092808579,0.18559571831925442,0.057895695859880886,0.0692580317649718,179,0.1023410310880829,0.09826100000000015,0.0662327095199349,193,6145,0.689119170984456,0.7430167597765364
8,6.748025736989803,0.33474552831543025,0.8345442162345882,0.9883410137854195,0.14882716222732612,0.049552021606354385,0.0655243389049829,179,0.07498082383419688,0.0,0.0662327095199349,193,6145,0.7979274611398963,0.8603351955307262
9,5.887803090998204,0.33180093553973666,0.8466468556398359,0.9886467474477234,0.1426459397263313,0.047346474087054106,0.06013284436909083,179,0.07964106735751296,0.0,0.0662327095199349,193,6145,0.8393782383419689,0.9050279329608939
10,6.491306911004358,0.32047284772591805,0.7993021573882597,0.9860767006113816,0.13331851376043252,0.04367201173604516,0.05561016762680923,179,0.07889461658031088,0.0,0.0662327095199349,193,6145,0.8186528497409327,0.88268156424581
11,6.255400224006735,0.30230277120622234,0.8421359085039004,0.9879886064967975,0.14069842263523522,0.04670087786969749,0.0590140841114295,179,0.08505251813471505,0.06906600000000007,0.0662327095199349,193,6145,0.8238341968911918,0.888268156424581
12,6.389984496010584,0.33145605605929646,0.6761673381354474,0.9778767011252197,0.16756525247242954,0.051917182053976094,0.061221326755626346,179,0.09590390673575129,0.07335800000000026,0.0662327095199349,193,6145,0.694300518134715,0.7486033519553073
13,6.386740966991056,0.30264483937131825,0.8822175177982255,0.9913640945359314,0.1528944301187407,0.0509119848456699,0.0662031358172663,179,0.061937590673575134,0.0,0.0662327095199349,193,6145,0.8497409326424871,0.9162011173184358
14,6.2568222699919716,0.3087263156228991,0.8754852400806776,0.9905881990231938,0.13958296436622125,0.047090497733269586,0.06165259732176142,179,0.08589759067357512,0.0,0.0662327095199349,193,6145,0.8393782383419689,0.9050279329608939
15,6.541969330995926,0.3142996831838764,0.880925135690709,0.9904683034693491,0.1515305637866094,0.04974166597513627,0.06364456564125869,179,0.0678861139896373,0.0,0.0662327095199349,193,6145,0.844559585492228,0.9106145251396648
16,6.178171369989286,0.307439294101587,0.8629895462411207,0.9892192487173317,0.15389878374808952,0.049771187757328424,0.06307888932055696,179,0.06651954404145079,0.0,0.0662327095199349,193,6145,0.8497409326424871,0.9162011173184358
17,6.628095617008512,0.2912761258767612,0.8579102361928536,0.9896838439884798,0.11600491552806072,0.03805889107628621,0.048592220217937805,179,0.0680759896373057,0.0,0.0662327095199349,193,6145,0.8393782383419689,0.9050279329608939
18,6.630883061006898,0.2953740792599187,0.8579279143811173,0.9894830189357899,0.15557459484271854,0.05098807573537744,0.06519336799779081,179,0.07843066839378239,0.0,0.0662327095199349,193,6145,0.8290155440414507,0.8938547486033519
19,6.756193103996338,0.2955906879323632,0.832328288408941,0.9871818806987855,0.14180238051391106,0.045878285607595264,0.05645500300660566,179,0.08193884455958549,0.0,0.0662327095199349,193,6145,0.8082901554404145,0.8715083798882681
20,6.224790425010724,0.29601030340835227,0.8756771272430449,0.9908194261627513,0.12412093110130731,0.041203368410843794,0.05425709643440596,179,0.07473675647668394,0.0,0.0662327095199349,193,6145,0.8601036269430051,0.9273743016759777
21,6.557799807997071,0.2839135339678223,0.8822798360723686,0.9921083033665815,0.12115927875339748,0.04047473947943525,0.05325364793037577,179,0.07302176683937824,0.0,0.0662327095199349,193,6145,0.8393782383419689,0.9050279329608939
22,6.240318869997282,0.293538436293602,0.8866665937992535,0.9917674574349374,0.13742091109569754,0.0458653005425632,0.060058314426470326,179,0.07230206735751296,0.0,0.0662327095199349,193,6145,0.8549222797927462,0.9217877094972067
23,6.049222802990698,0.2866939656547646,0.8363474318184996,0.9870748310971386,0.1599864267108801,0.051080443010619835,0.062401316653539006,179,0.08190262694300518,0.0,0.0662327095199349,193,6145,0.8341968911917098,0.8994413407821229
24,6.192889386002207,0.2920138273221343,0.7899216180571282,0.9849025805805172,0.145346977078684,0.04649976368587243,0.05676264313586689,179,0.08001828497409326,0.0,0.0662327095199349,193,6145,0.7875647668393783,0.8491620111731844
25,6.14131460399949,0.28373017962743985,0.861499509847751,0.9905278230478649,0.13439263322016368,0.044398702813951856,0.0579481519528598,179,0.0841782901554404,0.0,0.0662327095199349,193,6145,0.8393782383419689,0.9050279329608939
26,6.490953246990102,0.29086303966703697,0.8755026534914186,0.9911405749676925,0.14719584480103864,0.04829942338187324,0.0626696081819078,179,0.06472219170984457,0.0,0.0662327095199349,193,6145,0.844559585492228,0.9106145251396648
27,6.317925836003269,0.27916588545290394,0.8522481228195067,0.9903197186222631,0.12039148420545337,0.0396728049224018,0.05132430193019418,179,0.08238827461139897,0.0,0.0662327095199349,193,6145,0.8134715025906736,0.8770949720670391
28,6.439970297011314,0.27565521502227924,0.8574930331975084,0.9901574314261662,0.12108047639433206,0.03913079319316076,0.04890837890191358,179,0.07755140932642487,0.0,0.0662327095199349,193,6145,0.8238341968911918,0.888268156424581
29,6.359799832993303,0.28471749287043047,0.8694008088148547,0.9919370240039462,0.11478764958505719,0.037701136467993446,0.05012212356788251,179,0.06231781865284974,0.0,0.0662327095199349,193,6145,0.8601036269430051,0.9273743016759777
30,6.377996702998644,0.279034717647887,0.8778906293147576,0.9920003973681213,0.1168962184597032,0.03843690502107887,0.05118765122819409,179,0.06069221243523317,0.0,0.0662327095199349,193,6145,0.8497409326424871,0.9162011173184358
31,6.306389083998511,0.274526641328833,0.8745166480307256,0.9911782564274721,0.1328652791382824,0.04360690446020391,0.05712062916649022,179,0.06003577720207254,0.0,0.0662327095199349,193,6145,0.8601036269430051,0.9273743016759777
32,6.5692025419994025,0.2773684045272087,0.8016653032271442,0.9851487946643053,0.14502529770962122,0.04582050486940203,0.052857148942390325,179,0.09318577202072538,0.091418,0.0662327095199349,193,6145,0.772020725388601,0.8324022346368715
