epoch,seconds,train_loss,val_auprc,val_auroc,val_bce,val_brier,val_ece,val_feasible_probes,val_force_mae,val_force_median_error,val_positive_fraction,val_probes,val_rows,val_selected_success_rate,val_selected_success_rate_feasible_only
0,1.972917213992332,1.082573437201443,0.38333294281111147,0.9316025839204647,0.41019492087718473,0.14327991551392721,0.20390525022569272,179,0.21551304663212434,0.21247499999999997,0.0662327095199349,193,6145,0.23316062176165803,0.25139664804469275
1,2.3820011940115364,0.41306934316656485,0.7483593557612234,0.980796586059744,0.236711809072652,0.07799467773950572,0.10105707225575791,179,0.10730737305699481,0.09558,0.0662327095199349,193,6145,0.7512953367875648,0.8100558659217877
2,2.2486425989918644,0.33637803681750794,0.7886580742469876,0.9817745912203911,0.17245914977670798,0.05873954867287049,0.07598002979204167,179,0.08890940932642488,0.0,0.0662327095199349,193,6145,0.7875647668393783,0.8491620111731844
3,2.465888085993356,0.28303680524452407,0.7440615421033053,0.9791762832892146,0.18537479652937427,0.060032255893255594,0.07269149938988656,179,0.12986530051813472,0.1277999999999997,0.0662327095199349,193,6145,0.689119170984456,0.7430167597765364
4,2.013300969003467,0.259456063162035,0.7356842620624108,0.9822053588174188,0.16077320450895596,0.05246632253540729,0.06392120670532934,179,0.09890563730569948,0.07335800000000026,0.0662327095199349,193,6145,0.8031088082901554,0.8659217877094972
5,1.7755655459914124,0.2565399996602713,0.8472876916008999,0.9893498492313411,0.12322460051592797,0.04157196334161477,0.053497029745938646,179,0.08659908808290157,0.0,0.0662327095199349,193,6145,0.844559585492228,0.9106145251396648
6,2.3070403400051873,0.2581831118397748,0.8445054139492661,0.9882082722793772,0.13326723895895087,0.0451376400486546,0.05814514515149846,179,0.09966935233160622,0.06906600000000007,0.0662327095199349,193,6145,0.7979274611398963,0.8603351955307262
7,2.2612694619892864,0.3013352430912096,0.6300171358098126,0.9722792915543003,0.22714088666132456,0.07121977272931637,0.08768251115032605,179,0.10932206735751296,0.05908499999999961,0.0662327095199349,193,6145,0.616580310880829,0.664804469273743
8,1.871910713991383,0.24825454692342389,0.8820471675378649,0.9909132016137941,0.1388776616859787,0.045504052573403245,0.05946352319750542,179,0.07842322797927462,0.0,0.0662327095199349,193,6145,0.8549222797927462,0.9217877094972067
9,1.5196729809977114,0.23216606704379195,0.8830087706544392,0.9905243974606122,0.1393688588864722,0.04645883364336675,0.05968212026599384,179,0.07706737305699483,0.0,0.0662327095199349,193,6145,0.8601036269430051,0.9273743016759777
10,2.3126153259945568,0.22388414204565446,0.8397606702214588,0.9875762514312532,0.14175080545327032,0.04595533734279124,0.05679022210521555,179,0.09333010880829017,0.06906600000000007,0.0662327095199349,193,6145,0.8082901554404145,0.8715083798882681
11,2.127052110998193,0.25409784490492804,0.8691940344945356,0.9902499222819892,0.13448133013181995,0.0444618525614722,0.056737589673274046,179,0.09287921761658031,0.0,0.0662327095199349,193,6145,0.8238341968911918,0.888268156424581
12,2.4080646240036003,0.24447521661866956,0.8450609427047625,0.9887452330812386,0.13424856113960396,0.04495474177956478,0.057621859163634326,179,0.1037906787564767,0.09558,0.0662327095199349,193,6145,0.7875647668393783,0.8491620111731844
13,2.0958307910041185,0.22586825679042447,0.8087461234327317,0.9848700375016165,0.13693190576001266,0.043877358165988464,0.05097372622320716,179,0.11562757512953369,0.11734599999999995,0.0662327095199349,193,6145,0.7668393782383419,0.8268156424581006
14,1.7642711179942125,0.2247531558039473,0.8968745231288298,0.992536073574763,0.13671998064043647,0.04555535881328247,0.0594526514164006,179,0.07796231088082901,0.0,0.0662327095199349,193,6145,0.8290155440414507,0.8938547486033519
15,2.352347815001849,0.25099669185592166,0.8114124558344374,0.9883748414595399,0.13738126271036236,0.0433173305745514,0.05508840528743668,179,0.080093,0.0,0.0662327095199349,193,6145,0.8082901554404145,0.8715083798882681
16,2.3982688700052677,0.21019044040299173,0.9118867696293301,0.9936044285992003,0.12364969159003782,0.04112894373727968,0.05499232976256278,179,0.07281244559585492,0.0,0.0662327095199349,193,6145,0.8549222797927462,0.9217877094972067
17,2.072980265991646,0.23528341354051632,0.8799620928781604,0.9918834992031228,0.18547812198180683,0.06167871762853112,0.08312382706303623,179,0.07030004663212436,0.0,0.0662327095199349,193,6145,0.8497409326424871,0.9162011173184358
18,2.4522994839935564,0.2231584302525022,0.8590408375685208,0.9905907682136333,0.12789475126286298,0.042949354025056896,0.05626972840043804,179,0.08846510362694301,0.036156999999999995,0.0662327095199349,193,6145,0.8082901554404145,0.8715083798882681
19,1.9043140669964487,0.22951107461061052,0.8945261636452072,0.9919631441067481,0.13786093437816935,0.045905782343831365,0.06157754803353805,179,0.0683507720207254,0.0,0.0662327095199349,193,6145,0.8393782383419689,0.9050279329608939
20,2.0199263719987357,0.20633595914983038,0.8844089904379977,0.9918578072987275,0.13340893637007487,0.04478032108665942,0.06012201031668722,179,0.07588931088082902,0.0,0.0662327095199349,193,6145,0.8497409326424871,0.9162011173184358
21,2.464241455003503,0.20918324739852948,0.8938058616285744,0.9924380161396543,0.12396738090801665,0.040227041550421255,0.052799957621731994,179,0.07249938341968913,0.0,0.0662327095199349,193,6145,0.8652849740932642,0.9329608938547486
22,1.9183298690040829,0.20778913845989241,0.8754046334365474,0.9900623713799036,0.12541532144014117,0.03939744115300742,0.04915859155194989,179,0.0776658445595855,0.0,0.0662327095199349,193,6145,0.8497409326424871,0.9162011173184358
23,2.0152302560018143,0.22997526279581126,0.794113737044276,0.9862783820608847,0.1633078438700537,0.05466457325626664,0.07407000359583164,179,0.07621746113989639,0.0,0.0662327095199349,193,6145,0.7823834196891192,0.8435754189944135
