epoch,train_latent_mse,val_latent_mse,val_force_mae
-1,nan,0.84054137,0.664908
0,0.63217834,0.42646999,0.248133
1,0.27319109,0.16835285,0.327058
2,0.14035415,0.10241328,0.242370
3,0.08198597,0.06489402,0.175899
4,0.06415318,0.05722893,0.166180
5,0.05940177,0.05441490,0.155510
6,0.05690436,0.05340785,0.151917
7,0.05634036,0.05241924,0.149422
8,0.05468002,0.05175912,0.144817
9,0.05394332,0.05107262,0.142201
10,0.05308424,0.05043980,0.141577
11,0.05176458,0.04951412,0.141237
12,0.05077186,0.04857961,0.133840
13,0.04982931,0.04780109,0.132978
14,0.04830944,0.04653112,0.128090
15,0.04726843,0.04581405,0.125767
16,0.04612665,0.04544558,0.120556
17,0.04517101,0.04472587,0.122241
18,0.04377869,0.04446434,0.120124
19,0.04274697,0.04336795,0.117863
20,0.04171811,0.04212329,0.113485
21,0.04074382,0.04144928,0.115947
22,0.03956263,0.04029189,0.114499
23,0.03841220,0.03968299,0.115086
24,0.03730618,0.03791742,0.109471
25,0.03651237,0.03684224,0.108195
26,0.03514660,0.03594494,0.108422
27,0.03435784,0.03528675,0.107031
28,0.03368883,0.03521372,0.105217
29,0.03301281,0.03498081,0.104877
30,0.03260818,0.03432363,0.102662
31,0.03219606,0.03405266,0.101357
32,0.03180786,0.03380535,0.101584
33,0.03169417,0.03356318,0.099509
34,0.03132946,0.03383428,0.099108
35,0.03112119,0.03361791,0.099562
36,0.03068963,0.03336920,0.098946
37,0.03072229,0.03351565,0.101495
38,0.03042510,0.03362927,0.102521
39,0.03011105,0.03290289,0.098824
